traj_id,head_xyz_final,head_rpy_final_deg,hand_xyz_final,hand_rpy_final_deg,min_head_goal_dist,min_hand_goal_dist,final_head_goal_dist,final_hand_goal_dist,vis_frac_head,vis_frac_hand,longest_invis_gap_head,longest_invis_gap_hand,t_since_view_to_grasp_h,t_since_view_to_grasp_d,grasp_success_step,overall_success,traj_length
/traj_258,[ 0.6643517   1.74517632 -0.61302626],[124.99551934  31.86548374  20.28415189],[-0.57445163  2.1991291   0.69298261],[179.75955495  21.87373519  79.00456068],1.9112486839294434,2.339921712875366,1.9654020071029663,2.3762130737304688,1.0,1.0,0,0,-186,-186,14,True,201
/traj_259,[-0.72924453  1.8544302  -0.67940247],[-151.44120516   56.32522736  123.18601359],[-1.58536339  1.404392    1.28972125],[-166.45123944    2.79785601  145.6545743 ],1.637593150138855,1.7273674011230469,2.105302095413208,2.4797327518463135,1.0,0.8009950248756219,0,155,-162,-162,38,False,201
/traj_26,[-1.1814971   1.78967428 -0.69591433],[179.08296282  61.10175217  88.95255596],[-2.18769789  0.91032314  1.04861975],[-169.29451458   15.26120013  136.08032165],2.15156888961792,2.472660779953003,2.2545878887176514,2.5911991596221924,1.0,1.0,0,0,-187,-187,13,True,201
/traj_260,[-0.04440356  1.99663067 -1.00093031],[136.31061678  47.65063463  37.72767415],[-1.62296426  1.80461013  1.04243243],[-176.03430441   11.69382385  105.22715227],2.067309856414795,2.4304566383361816,2.233912944793701,2.6414570808410645,1.0,1.0,0,0,-187,-187,13,True,201
/traj_261,[-1.92239046  1.20555532  0.40938464],[-129.13864071   39.49756386  152.63335018],[-1.60228181 -0.21988413  1.82113063],[-160.83535913   -6.33701413  172.59535354],2.3057632446289062,2.3595821857452393,2.3057632446289062,2.43560528755188,0.9502487562189055,0.9850746268656716,191,198,-175,-175,25,True,201
/traj_262,[0.88822627 0.60531396 1.58705378],[121.468637   -21.13830317 -12.44661162],[1.4368     0.29305732 1.0633105 ],[171.8482527  15.8692261  12.6298115],1.8061293363571167,1.7685257196426392,1.9167917966842651,1.8113272190093994,1.0,0.8805970149253731,0,167,-174,-174,26,True,201
/traj_263,[1.11099482 0.24907711 2.12796402],[119.78490509 -11.24587639  -6.36903145],[1.91027737 0.2417323  1.17120743],[166.58698836  15.68420177  27.99566471],2.076977014541626,1.808308720588684,2.413416624069214,2.253734827041626,1.0,0.8855721393034826,0,165,-173,-173,27,True,201
/traj_264,[0.70810807 0.66703892 1.49188077],[121.4142513  -20.80080342 -12.23721436],[1.09554136 0.16433366 1.25039208],[176.1775022    8.46441805  14.15766951],1.6498539447784424,1.6038252115249634,1.7810295820236206,1.6705378293991089,1.0,0.9054726368159204,0,165,-173,-173,27,True,201
/traj_265,[-1.67779171  1.4509697  -0.14868546],[-151.41247736   56.30027401  123.22497607],[-1.75185943  0.56895328  1.65260971],[-153.48812273    4.15951051  147.95755758],2.2224600315093994,2.468276262283325,2.2231521606445312,2.4746389389038086,1.0,0.9900497512437811,0,182,-183,-183,17,True,201
/traj_266,[-0.49378338  1.90808725 -0.7678206 ],[-153.52345393   57.03913673  120.69411435],[-1.62548089  1.48920023  1.19105768],[-169.44271125    4.74173529  147.99611806],1.7033275365829468,1.8345037698745728,2.115222692489624,2.5056982040405273,1.0,0.9203980099502488,0,173,-181,-181,19,True,201
/traj_267,[-1.99305558  1.3298012   0.11115325],[-137.38193587   48.5239323   140.84515168],[-1.91482675 -0.03972733  1.71395886],[-156.47867329    1.50107826  165.36463027],2.378465175628662,2.472735643386841,2.398540496826172,2.570174217224121,1.0,1.0,0,0,-185,-185,15,True,201
/traj_268,[1.06200325 0.73095608 1.35782731],[120.06077124 -13.53915624  -7.71628218],[1.42779601 0.57880539 0.99361885],[172.53009139  17.75923768  18.92256007],1.8020020723342896,1.8332746028900146,1.872389554977417,1.8332746028900146,1.0,0.845771144278607,0,162,-170,-170,30,True,201
/traj_269,[-1.64829171  1.64189124 -0.35698801],[-154.7307666    57.41117311  119.25963761],[-2.187922    0.27690125  1.39595306],[-163.54509034    8.6165558   154.56899963],2.330627679824829,2.494389533996582,2.3537442684173584,2.6100502014160156,1.0,0.9850746268656716,0,177,-178,-178,22,True,201
/traj_27,[-0.31656426  1.99191177 -1.00096631],[141.81053882  52.08684427  45.08430535],[-1.82430863  1.55359304  1.11284757],[-176.50634663    9.5277848   111.96931888],2.102491617202759,2.300002098083496,2.2516348361968994,2.6420035362243652,1.0,1.0,0,0,-185,-185,15,True,201
/traj_270,[-0.95815641  1.79463387 -0.56401765],[-139.38900748   50.09934229  138.18066483],[-1.83439457  0.87960804  1.34933984],[-1.63543402e+02  1.64687470e-01  1.68275678e+02],1.796128511428833,1.7002711296081543,2.1111347675323486,2.441194772720337,1.0,0.9303482587064676,0,171,-177,-177,23,False,201
/traj_271,[ 0.52290058  1.83786559 -0.72676057],[127.34932802  36.60259315  24.46748276],[-0.92796981  2.11246681  0.84449106],[177.78955314  15.73848779  86.15661635],1.8395494222640991,2.172471761703491,2.0443472862243652,2.4569919109344482,1.0,1.0,0,0,-185,-185,15,True,201
/traj_272,[-0.4075546   1.86575687 -0.72140831],[-168.56481452   60.18878874  103.12266258],[-1.41574872  1.71499503  1.04035282],[-161.20783566    9.44749891  137.60968902],1.517038345336914,1.7586417198181152,2.0414650440216064,2.4551753997802734,1.0,0.7860696517412935,0,156,-163,-163,37,True,201
/traj_273,[-0.72132707  2.02255797 -0.99356681],[145.83031842  53.93336502  49.97696242],[-2.25118732  1.08682847  1.07044864],[179.65870791   9.46862012 118.89872196],2.27687668800354,2.4928057193756104,2.3660576343536377,2.7193567752838135,1.0,0.9751243781094527,0,175,-170,-170,30,True,201
/traj_274,[ 0.19204122  1.8405174  -0.7643609 ],[131.09374128  42.19448884  30.36124892],[-0.91425198  2.1056664   0.80058587],[-179.5309707    18.93193403   86.19885172],1.8888671398162842,2.253936767578125,2.0021567344665527,2.431177854537964,1.0,1.0,0,0,-187,-187,13,True,201
/traj_275,[-1.08882594  1.80411339 -0.73664874],[175.08400373  60.73017374  84.36882413],[-1.99241745  1.15799284  1.19069159],[-160.08501101   14.73654872  134.79944548],2.161205291748047,2.396131992340088,2.2322676181793213,2.5939199924468994,1.0,1.0,0,0,-188,-188,12,True,201
/traj_276,[-1.94363332  1.38446915 -0.03471177],[-142.07868293   51.86898158  134.72464527],[-1.978001    0.33014804  1.66955864],[-151.46788442    5.07339881  158.44041108],2.344696521759033,2.3701417446136475,2.3865602016448975,2.609389066696167,0.9900497512437811,0.9950248756218906,199,200,-179,-179,21,False,201
/traj_277,[-2.02592492  1.34579349  0.19386348],[-134.69959135   46.15179476  144.48628881],[-2.0423069  -0.44816133  1.50357556],[-165.8474029     4.44269415  171.71661619],2.4399003982543945,2.4931931495666504,2.4399003982543945,2.5753846168518066,1.0,1.0,0,0,-178,-178,22,True,201
